,indoor_t_c,outdoor_t_c,q_solar_w,q_conduct_w,q_vent_w,q_internal_w,q_net_w
2024-04-01 02:00:00+05:30,34.69893347255398,22.685000000000002,0.0,-1690.3689988489607,-188.35444898270126,100.0,-1778.723447831662
2024-04-01 03:00:00+05:30,33.91515848932258,22.315,0.0,-1613.1072647161727,-181.86728479559937,100.0,-1694.974549511772
2024-04-01 04:00:00+05:30,33.17063552428033,22.005,0.0,-1535.0609990968298,-175.05483374966704,100.0,-1610.115832846497
2024-04-01 05:00:00+05:30,32.465619956846695,21.810000000000002,15.736781154786533,-1438.345122645476,-167.05880968344243,100.0,-1489.6671511741317
2024-04-01 06:00:00+05:30,31.895231054631477,23.429999999999996,408.3151770965357,-795.3573584371588,-132.7178924745123,100.0,-419.76007381513546
2024-04-01 07:00:00+05:30,32.02953580202397,26.88,958.3793366826309,40.35821132346779,-80.73442230413185,100.0,1018.0031257019667
2024-04-01 08:00:00+05:30,32.67650312695975,31.7,1342.9097094398114,723.9265905958774,-15.309616024474977,100.0,2151.526684011214
2024-04-01 09:00:00+05:30,33.854520222945986,35.78,1697.091750544408,1221.5863763993557,30.187671944652887,100.0,3048.8657988884165
2024-04-01 10:00:00+05:30,35.30284952360886,37.42,1928.84531587745,1314.7965677494678,33.19268516886035,100.0,3376.8345687957776
2024-04-01 11:00:00+05:30,36.83800855289362,38.440000000000005,2032.5086675005325,1234.558695940433,25.116021907733913,100.0,3392.183385348699
2024-04-01 12:00:00+05:30,38.3306776810208,39.13,2014.0362925555667,1052.1699695713398,12.531775316955907,100.0,3178.738037443863
2024-04-01 13:00:00+05:30,39.70067044982866,39.39,1931.2078534158218,828.5417682739234,-4.870691312413615,100.0,2854.8789303773315
2024-04-01 14:00:00+05:30,40.9022590042815,39.15,1730.3524626161409,502.9768188003671,-27.471916669125278,100.0,2305.8573647473827
2024-04-01 15:00:00+05:30,41.79051663882351,38.44,1359.4405687681144,31.8616619049079,-52.52939986347513,100.0,1438.7728308095473
2024-04-01 16:00:00+05:30,42.24461227299929,37.214999999999996,864.0905744090632,-544.6030214828032,-78.85426121608286,100.0,340.63329171017705
2024-04-01 17:00:00+05:30,42.17157311247444,34.720000000000006,335.4675214323283,-1217.4984780638438,-116.82576325737416,100.0,-898.8567198888895
2024-04-01 18:00:00+05:30,41.56631674186688,31.62,41.282947504054626,-1697.4737959811544,-155.9383538789889,100.0,-1712.1292023560884
2024-04-01 19:00:00+05:30,40.74344220629631,29.695000000000004,0.0,-1819.7600992249997,-173.2174769103135,100.0,-1892.977576135313
2024-04-01 20:00:00+05:30,39.89370993336242,28.59,0.0,-1814.9853696965486,-177.2195643352561,100.0,-1892.2049340318051
2024-04-01 21:00:00+05:30,39.045025618515965,27.545,0.0,-1803.6361507684658,-180.29740164709332,100.0,-1883.9335524155588
2024-04-01 22:00:00+05:30,38.20252845084883,26.61,0.0,-1780.8802118145356,-181.74766105240795,100.0,-1862.6278728669433
2024-04-01 23:00:00+05:30,37.371746905487335,25.77,0.0,-1749.2387402005513,-181.8921879842304,100.0,-1831.1309281847816
2024-04-02 00:00:00+05:30,36.556266553542756,24.98,0.0,-1714.305124987691,-181.49270702644333,100.0,-1795.7978320141344
2024-04-02 01:00:00+05:30,35.75629719937509,24.175,0.0,-1683.4055830972318,-181.57157749180269,100.0,-1764.9771605890344
2024-04-02 02:00:00+05:30,34.96918138607032,23.385,0.0,-1652.7707121673348,-181.61679577081046,100.0,-1734.3875079381453
2024-04-02 03:00:00+05:30,34.19778201250238,22.73,0.0,-1609.3677722889497,-179.79188639201234,100.0,-1689.159658680962
2024-04-02 04:00:00+05:30,33.449245884190155,22.13,0.0,-1563.2576347583154,-177.46313697233327,100.0,-1640.720771730649
2024-04-02 05:00:00+05:30,32.7245854966139,21.724999999999998,15.834698904194092,-1487.0579854768039,-172.45150141591273,100.0,-1543.6747879885224
2024-04-02 06:00:00+05:30,32.11985027904496,23.165000000000003,356.163605820265,-909.2057118833118,-140.39414267486694,100.0,-593.4362487379138
2024-04-02 07:00:00+05:30,32.14336163914607,26.400000000000002,853.8153515842288,-125.37639875068784,-90.0444237785321,100.0,738.3945290550088
2024-04-02 08:00:00+05:30,32.663176330270495,30.64,1242.6526562536792,525.925159184201,-31.719358505980797,100.0,1836.8584569318994
2024-04-02 09:00:00+05:30,33.69298689625858,34.395,1614.7357798958772,1029.8279597363023,11.006161440457992,100.0,2755.569901072637
2024-04-02 10:00:00+05:30,35.02700006377344,36.195,1855.9121628054243,1168.8698682886836,18.311903000159973,100.0,3143.0939340942678
2024-04-02 11:00:00+05:30,36.46176468086258,37.32,1972.0209993055578,1126.6099550028182,13.455413333436468,100.0,3212.086367641812
2024-04-02 12:00:00+05:30,37.89084674981507,38.305,1971.8954231587534,1001.6423774798199,6.493094656399333,100.0,3080.0308952949727
2024-04-02 13:00:00+05:30,39.218507114820035,38.855,1825.3664948561836,771.5343322393386,-5.6990645461485405,100.0,2691.2017625493736
2024-04-02 14:00:00+05:30,40.31370812293557,38.62,1524.3113699075866,382.20410990428763,-26.55395595138386,100.0,1979.9615238604902
2024-04-02 15:00:00+05:30,41.038087276234485,37.714999999999996,1139.780229557718,-106.82896264400519,-52.09936231680421,100.0,1080.8519045969085
2024-04-02 16:00:00+05:30,41.34875558197591,36.525,701.3507889332526,-616.0723858630812,-75.6268400142183,100.0,109.65156305595305
2024-04-02 17:00:00+05:30,41.20845883898164,34.285000000000004,268.8948083413728,-1172.9561336856907,-108.5459876775542,100.0,-912.6073130218723
2024-04-02 18:00:00+05:30,40.63579013217582,31.49,38.16235556617123,-1573.3900085477098,-143.38769769225243,100.0,-1578.615350673791
