,indoor_t_c,outdoor_t_c,q_solar_w,q_conduct_w,q_vent_w,q_internal_w,q_net_w
2024-05-30 07:00:00+05:30,41.36435949755881,40.089999999999996,763.7667149141311,-102.18757754708342,-19.979408202727043,100.0,741.5997291643206
2024-05-30 08:00:00+05:30,41.89335494582286,43.10999999999999,1112.5439801778127,460.40638484597827,19.07456115938928,100.0,1692.0249261831802
2024-05-30 09:00:00+05:30,42.78290931610538,45.120000000000005,1365.5823156242625,776.7787406236757,36.64090774209989,100.0,2279.0019639900383
2024-05-30 10:00:00+05:30,43.871082775509485,46.585,1520.4403945845268,890.3392016219864,42.54879424556233,100.0,2553.3283904520754
2024-05-30 11:00:00+05:30,45.0387054524849,47.69,1601.6447352666594,873.7584338965531,41.566995915941725,100.0,2616.9701650791544
2024-05-30 12:00:00+05:30,46.20502738240464,48.419999999999995,1620.3595686659555,778.2793791230619,34.7263406986602,100.0,2533.3652884876774
2024-05-30 13:00:00+05:30,47.31079227312073,48.72,1588.8481488306397,616.0270324322105,22.09355874201329,100.0,2326.968740004864
2024-05-30 14:00:00+05:30,48.29384650691893,48.63,1455.6422799930526,337.47688175851596,5.270214464525043,100.0,1898.389376216094
2024-05-30 15:00:00+05:30,49.027595539362785,48.16,1173.6551319383739,-77.58228320367697,-13.602162866129746,100.0,1182.4706858685672
2024-05-30 16:00:00+05:30,49.39707397371066,47.31,768.5776526322911,-563.9992749486249,-32.72114575983577,100.0,271.8572319238305
2024-05-30 17:00:00+05:30,49.34417325152049,45.935,360.97015598190984,-1028.2672696642028,-53.44901823733815,100.0,-620.746131919631
2024-05-30 18:00:00+05:30,48.92158887562175,43.44,90.38961475705777,-1448.8078985843706,-85.94035039199792,100.0,-1344.358634219311
2024-05-30 19:00:00+05:30,48.223219986397915,41.23,0.0,-1658.8673276589072,-109.63970294674657,100.0,-1668.5070306056539
2024-05-30 20:00:00+05:30,47.471595949824746,40.214999999999996,0.0,-1658.8612752526185,-113.76891130135239,100.0,-1672.6301865539708
2024-05-30 21:00:00+05:30,46.722821152341425,39.32,0.0,-1645.8204127495858,-116.0614300264088,100.0,-1661.8818427759945
2024-05-30 22:00:00+05:30,45.978297242525436,38.395,0.0,-1636.790442569788,-118.89093416831388,100.0,-1655.6813767381018
2024-05-30 23:00:00+05:30,45.23567600753009,37.46,0.0,-1629.1710478773593,-121.90704844605675,100.0,-1651.0780963234158
2024-05-31 00:00:00+05:30,44.49614477413977,36.595,0.0,-1614.164424054039,-123.8741477689634,100.0,-1638.0385718230027
2024-05-31 01:00:00+05:30,43.76573305028982,35.93,0.0,-1578.0955232709941,-122.84862276244387,100.0,-1600.944146033438
2024-05-31 02:00:00+05:30,43.059237928906974,35.655,0.0,-1501.884744551552,-116.08364224940344,100.0,-1517.9683868009558
2024-05-31 03:00:00+05:30,42.39704043265061,35.52,0.0,-1416.6763654763988,-107.81823990309634,100.0,-1424.494605379495
2024-05-31 04:00:00+05:30,41.7707167369296,35.19,0.0,-1358.788046415699,-103.17247700158232,100.0,-1361.9605234172814
2024-05-31 05:00:00+05:30,41.18761263452054,35.135,112.26352358478607,-1175.3314838068143,-94.8928608840131,100.0,-1057.9608211060413
2024-05-31 06:00:00+05:30,40.8126692789758,36.165,297.461156028615,-859.3560420688092,-72.86615895578264,100.0,-534.7610449959768
2024-05-31 07:00:00+05:30,40.67816860083209,38.79,485.01470732978646,-417.3230690533692,-29.602707323845504,100.0,138.08893095257176
2024-05-31 08:00:00+05:30,40.90919894173913,42.074999999999996,836.2979679030192,195.8183082329911,18.277428991413913,100.0,1150.3937051274243
2024-05-31 09:00:00+05:30,41.62416203545197,44.54,1225.3269922402917,693.161736290067,45.714507608184086,100.0,2064.2032361385427
2024-05-31 10:00:00+05:30,42.661195796107755,46.09,1472.8770448982289,936.1679957854079,53.75679230862256,100.0,2562.8018329922593
2024-05-31 11:00:00+05:30,43.85862801345662,47.135,1583.9290966491524,949.4424710436006,51.366960005027096,100.0,2684.73852769778
2024-05-31 12:00:00+05:30,45.046752938804154,47.745000000000005,1605.806903796369,841.8116501571862,42.30311742542858,100.0,2589.9216713789833
2024-05-31 13:00:00+05:30,46.186079039545014,47.96,1589.964488972683,706.9570503993453,27.811532818013273,100.0,2424.733072190041
2024-05-31 14:00:00+05:30,47.22136884670289,47.815,1486.3517519809611,457.6815874116365,9.306949221392097,100.0,2053.3402886139897
2024-05-31 15:00:00+05:30,48.03896332779622,47.35,1253.8596160356894,71.31652875756309,-10.801567053189151,100.0,1414.3745777400634
2024-05-31 16:00:00+05:30,48.52373308765089,46.53,885.404734399994,-414.40747113738195,-31.257747348190605,100.0,539.7395159144214
2024-05-31 17:00:00+05:30,48.58418165920028,45.10999999999999,449.3455536083711,-934.3066585243884,-54.46822005294203,100.0,-439.4293249689593
2024-05-31 18:00:00+05:30,48.217393884112504,42.84,115.5044194135723,-1390.4030031078046,-84.30678131511586,100.0,-1259.2053650093483
2024-05-31 19:00:00+05:30,47.557412010864276,41.365,0.0,-1542.8118680340676,-97.08463550633003,100.0,-1539.8965035403978
